price,distance,height,seating_angle,visibility,turns_visible,track_length_visible,range_visible,seat_type,sun_cover,rain_cover,speed_category,overtake_probability,braking_zone,tickets_sold_first_hour
962,11,17,31,54,1,479,62,General,0.58,0.89,Fast,0.17,1,172.4
4647,55,26,28,68,4,244,424,General,0.74,0.76,Fast,0.23,1,249.2
2807,31,5,48,46,2,278,319,VIP,0.22,0.04,Fast,0.47,0,188.7
3012,152,12,8,42,1,250,50,Premium,0.73,0.87,Fast,0.4,1,123.2
3082,95,13,85,57,0,413,335,General,0.15,0.73,Slow,0.23,1,192.4
2706,19,14,4,91,2,307,147,General,0.06,0.91,Medium,0.55,1,215.9
3808,41,16,17,55,4,377,144,General,0.63,0.43,Slow,0.57,1,215.7
435,33,9,80,50,3,407,42,VIP,0.33,0.6,Slow,0.47,1,189.5
144,179,7,87,96,4,486,146,General,0.65,0.34,Slow,0.33,0,158.5
4150,50,32,13,95,2,429,269,Premium,0.52,0.15,Medium,0.71,0,233.6
966,97,19,30,43,1,392,50,General,0.07,0.49,Medium,0.16,0,118.1
3516,59,12,39,65,2,326,274,Premium,0.38,0.25,Fast,0.15,0,205.6
1854,6,4,80,43,1,136,26,General,0.73,0.07,Fast,0.29,1,207.1
3922,67,30,52,52,0,151,347,Premium,0.37,0.42,Slow,0.47,0,170.3
856,20,25,43,91,0,229,108,General,0.16,0.45,Slow,0.44,1,212.9
4558,30,3,83,74,0,149,395,VIP,0.72,0.17,Slow,0.49,0,259.3
1398,102,0,49,56,3,248,226,General,0.59,0.73,Fast,0.73,1,208.1
4491,20,20,7,43,4,346,267,VIP,0.78,0.53,Fast,0.15,0,211.3
606,177,15,51,47,4,228,306,VIP,0.51,0.62,Fast,0.44,1,130.2
3292,38,19,58,60,0,106,244,Premium,0.53,0.56,Fast,0.18,0,158.5
2909,22,15,47,58,1,326,436,Premium,0.46,0.3,Medium,0.89,0,248.4
1150,72,7,13,87,4,181,149,Premium,0.24,0.21,Fast,0.37,1,190.6
466,28,27,35,42,0,272,404,Premium,0.11,0.98,Fast,0.23,1,164.4
1271,144,2,47,77,4,177,230,VIP,0.11,0.31,Fast,0.82,0,187.5
2094,175,6,45,89,4,310,327,VIP,0.64,0.93,Slow,0.29,0,164.5
2771,110,15,34,50,0,297,456,General,0.03,0.47,Slow,0.26,1,179.2
1914,62,1,84,52,3,270,152,Premium,0.73,0.97,Slow,0.32,1,177.9
2189,50,16,4,46,4,324,186,General,0.62,0.31,Medium,0.58,0,191.9
2136,16,27,0,73,4,453,378,General,0.8,0.74,Medium,0.26,1,201.1
1070,81,32,39,82,3,269,216,Premium,0.59,0.55,Slow,0.25,1,172.4
4712,82,25,70,93,0,257,156,General,0.18,0.79,Fast,0.59,1,230.5
1440,173,5,36,72,4,273,57,VIP,0.7,0.75,Fast,0.64,0,168.9
428,67,30,78,94,0,335,222,General,0.75,0.58,Fast,0.67,1,164.2
923,113,14,22,91,4,339,35,VIP,0.47,0.92,Medium,0.2,0,149.9
4628,157,20,56,79,4,320,435,General,0.77,0.45,Medium,0.23,1,219.7
4320,129,15,35,68,0,467,156,General,0.2,0.34,Fast,0.81,0,200.1
1301,185,13,8,66,3,271,287,VIP,0.4,0.06,Medium,0.77,1,156.0
4766,102,30,0,62,2,487,209,General,0.73,0.95,Fast,0.44,0,148.0
4028,12,24,43,82,3,472,94,VIP,0.71,0.92,Medium,0.88,0,246.4
3561,39,29,23,43,2,296,177,General,0.18,0.33,Slow,0.71,1,203.7
3503,69,5,60,41,4,128,189,VIP,0.19,0.07,Slow,0.87,0,225.2
1298,66,8,60,82,0,390,121,VIP,0.4,0.26,Fast,0.4,0,193.1
2598,32,1,39,76,3,305,376,General,0.17,0.59,Medium,0.76,0,263.2
1041,149,2,44,74,3,440,199,VIP,0.06,0.65,Fast,0.11,1,154.3
3017,167,29,19,67,1,477,277,General,0.82,0.27,Slow,0.75,1,155.3
2061,27,17,57,55,3,393,322,General,0.57,0.34,Fast,0.5,1,207.9
2166,92,17,76,84,2,386,15,General,0.44,0.19,Medium,0.29,1,182.2
4070,119,1,11,58,1,309,364,General,0.21,0.66,Medium,0.4,1,185.2
2759,95,29,34,59,2,220,71,General,0.61,0.32,Medium,0.69,0,156.1
4347,157,18,12,93,1,253,126,General,0.31,0.3,Slow,0.67,0,215.6
4583,79,8,81,95,3,154,456,General,0.01,0.28,Fast,0.48,1,291.0
585,107,31,9,76,0,179,86,General,0.69,0.95,Medium,0.17,0,77.3
1898,138,24,57,98,3,254,450,Premium,0.5,0.43,Medium,0.55,0,197.7
1778,72,5,20,55,1,384,48,General,0.13,0.41,Fast,0.65,1,190.9
2366,184,29,9,83,1,237,413,General,0.67,0.59,Medium,0.74,0,113.0
1215,23,3,21,90,2,406,393,Premium,0.7,0.92,Medium,0.45,1,184.2
2280,133,31,56,45,4,122,231,VIP,0.62,0.6,Slow,0.12,0,72.3
2257,152,2,22,70,4,435,236,VIP,0.78,0.18,Medium,0.57,1,180.7
3395,90,20,85,46,1,270,220,General,0.59,0.29,Fast,0.86,0,165.7
3361,136,0,84,95,4,338,221,Premium,0.05,0.52,Medium,0.6,1,301.2
1717,73,8,36,68,3,164,24,General,0.83,0.61,Fast,0.29,0,132.0
979,123,7,82,93,1,357,376,VIP,0.25,0.71,Fast,0.43,1,203.7
4565,42,24,24,98,4,362,392,General,0.75,0.86,Medium,0.32,1,248.6
2495,155,31,19,68,4,349,186,VIP,0.28,0.76,Slow,0.4,1,165.7
2006,151,24,29,94,3,124,172,VIP,0.63,0.71,Medium,0.75,1,157.3
353,37,32,75,61,0,327,61,VIP,0.45,0.46,Slow,0.68,1,152.3
