price,distance,height,seating_angle,visibility,turns_visible,track_length_visible,range_visible,seat_type,sun_cover,rain_cover,speed_category,overtake_probability,braking_zone,tickets_sold_first_hour
365,78,9,59,63,0,334,316,Premium,0.42,0.02,Slow,0.45,1,223.1
3277,50,3,13,92,0,294,88,Premium,0.08,0.51,Medium,0.5,1,244.2
450,153,3,23,43,1,253,150,General,0.76,0.52,Medium,0.18,0,121.3
2763,89,28,21,48,0,265,35,VIP,0.74,0.27,Medium,0.68,0,124.8
3011,188,27,5,70,3,410,406,Premium,0.07,0.13,Fast,0.17,0,197.0
361,42,0,13,97,0,166,386,General,0.01,0.77,Medium,0.76,1,194.8
3787,92,24,11,85,0,149,377,General,0.18,0.94,Medium,0.42,1,178.3
1506,53,3,85,54,2,215,186,General,0.16,0.22,Medium,0.41,1,204.9
4234,133,32,14,77,2,236,122,General,0.11,0.76,Fast,0.22,0,172.0
3136,113,6,1,51,3,161,178,Premium,0.27,0.54,Fast,0.53,0,135.8
2288,170,4,61,85,2,174,173,General,0.19,0.73,Medium,0.48,0,144.7
3687,83,31,70,79,3,472,232,Premium,0.44,0.58,Fast,0.27,0,173.0
772,172,14,24,52,4,475,424,General,0.44,0.26,Fast,0.49,1,163.0
4135,40,7,41,62,2,288,61,VIP,0.67,0.7,Fast,0.46,1,205.3
2455,139,3,23,59,1,181,119,General,0.12,0.69,Medium,0.61,0,139.5
4272,97,8,13,93,3,259,266,General,0.64,0.25,Medium,0.22,1,244.9
4495,170,6,1,83,3,348,428,Premium,0.06,0.11,Medium,0.68,1,256.5
1575,96,0,10,56,2,123,55,General,0.76,0.84,Slow,0.25,1,125.3
732,61,6,25,79,1,227,31,General,0.66,0.04,Medium,0.19,1,161.5
1889,71,17,50,78,1,188,330,Premium,0.6,0.49,Medium,0.56,1,199.9
3628,167,31,2,73,1,327,26,General,0.77,0.18,Medium,0.79,0,118.3
2109,181,32,67,65,1,356,400,General,0.83,0.24,Fast,0.39,1,145.7
984,115,2,87,44,1,478,346,General,0.09,0.56,Slow,0.44,0,162.7
3536,144,1,56,86,0,116,323,General,0.01,0.02,Medium,0.32,1,161.6
3307,82,17,40,45,2,124,416,Premium,0.63,0.54,Fast,0.43,1,152.9
1580,32,28,54,67,3,190,123,General,0.57,0.72,Fast,0.31,1,153.1
4215,135,28,70,97,3,476,141,VIP,0.66,0.66,Fast,0.77,1,208.9
2671,44,32,56,98,3,398,13,Premium,0.23,0.63,Medium,0.54,1,232.1
1458,20,19,16,97,0,333,391,General,0.29,0.15,Fast,0.28,0,197.9
427,47,5,48,59,4,468,368,General,0.51,0.53,Fast,0.61,0,193.4
3990,156,4,14,49,1,350,222,Premium,0.24,0.27,Medium,0.42,1,166.7
1553,170,21,11,86,4,329,370,General,0.54,0.38,Fast,0.84,0,174.6
2740,63,15,40,54,3,144,157,General,0.27,0.11,Fast,0.49,1,180.3
2367,7,24,74,94,0,481,302,VIP,0.27,0.85,Fast,0.13,1,204.1
4717,114,22,10,73,1,163,419,General,0.23,0.03,Slow,0.18,0,240.1
4582,177,22,84,63,0,324,169,Premium,0.2,0.91,Fast,0.59,1,274.2
434,58,6,49,58,1,322,243,VIP,0.68,0.8,Slow,0.69,0,148.2
186,146,20,51,60,1,347,223,General,0.15,0.55,Slow,0.19,0,121.8
3692,74,8,42,54,2,298,384,General,0.47,0.62,Slow,0.39,1,191.9
1119,100,29,56,72,4,109,299,Premium,0.14,0.03,Slow,0.45,0,175.6
3133,60,25,58,72,1,179,327,VIP,0.37,0.22,Slow,0.24,1,173.1
2216,176,31,39,73,0,334,199,Premium,0.03,0.07,Slow,0.2,1,170.2
183,174,17,52,90,1,117,72,General,0.76,0.34,Fast,0.59,1,103.0
4111,184,1,31,91,2,414,119,General,0.23,0.82,Fast,0.68,1,208.1
905,20,29,53,60,1,202,217,General,0.37,0.12,Fast,0.22,1,152.3
1002,101,3,75,40,3,477,395,Premium,0.62,0.79,Fast,0.4,0,154.4
2549,102,23,29,85,1,425,150,General,0.55,0.23,Fast,0.47,0,166.9
1780,120,20,70,77,1,358,442,Premium,0.02,0.28,Fast,0.5,1,191.0
1876,95,23,61,90,3,161,320,General,0.03,0.45,Medium,0.64,1,231.7
3190,115,26,37,42,4,351,439,Premium,0.56,0.72,Slow,0.57,1,174.4
2879,165,14,27,45,4,280,172,VIP,0.75,0.68,Medium,0.75,0,151.4
4349,180,10,87,92,2,113,34,VIP,0.01,0.14,Slow,0.39,0,271.3
4297,52,6,1,95,4,375,228,Premium,0.48,0.96,Fast,0.33,1,205.6
1261,6,1,73,96,0,326,93,Premium,0.1,0.08,Medium,0.14,0,220.5
2409,170,11,38,73,4,268,119,VIP,0.07,0.8,Medium,0.78,1,166.4
4512,65,24,48,46,2,243,249,Premium,0.83,0.23,Slow,0.32,1,179.1
3976,95,2,14,69,2,278,457,General,0.03,0.99,Fast,0.77,1,232.8
4697,172,2,41,62,2,400,25,General,0.79,0.58,Slow,0.12,1,144.2
220,20,10,56,40,3,316,108,VIP,0.02,0.59,Fast,0.16,1,168.0
4304,20,18,85,45,2,145,230,Premium,0.71,0.3,Fast,0.38,0,183.8
4716,73,8,42,86,2,260,27,VIP,0.37,0.24,Slow,0.55,0,320.3
